Date,Time,Time2,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
10/17/2020,8:30:00 AM,AM,11339.75,11351.78,11314.92,11315.59,536.205244,00:00.0,6078415.774,9977,237.05777,2687504.25,0
10/17/2020,9:00:00 AM,AM,11315.6,11331.88,11312.94,11320.11,420.619386,30:00.0,4763459.425,7960,209.891384,2377032.68,0
10/17/2020,9:30:00 AM,AM,11320.12,11339.76,11308.63,11336.54,462.580983,00:00.0,5236768.808,7222,249.408678,2823811.643,0
10/17/2020,10:00:00 AM,AM,11336.29,11347.03,11328.71,11340.05,358.558231,30:00.0,4065694.925,6267,155.490243,1763064.35,0
10/17/2020,10:30:00 AM,AM,11340.06,11350.01,11330.51,11349.91,408.691749,00:00.0,4635310.686,7317,207.152152,2349621.977,0
10/17/2020,11:00:00 AM,AM,11349.92,11349.92,11335.63,11345.04,508.092385,30:00.0,5763250.981,7613,265.887379,3015907.017,0
10/17/2020,11:30:00 AM,AM,11345.04,11355,11333.9,11343.13,509.8056,00:00.0,5782986.826,8390,228.521346,2592200.468,0
10/17/2020,12:00:00 PM,PM,11343.29,11344.76,11331.12,11334.42,490.395625,30:00.0,5559757.626,6936,215.468925,2442865.527,0
10/17/2020,12:30:00 PM,PM,11334.41,11348.68,11320,11345.39,575.14451,00:00.0,6518577.273,8029,252.882265,2866508.393,0
10/17/2020,1:00:00 AM,PM,11345.4,11352.03,11323.93,11327.37,354.581948,30:00.0,4019691.59,6162,162.308218,1840008.458,0
10/17/2020,1:30:00 AM,PM,11327.37,11341.73,11311,11322.84,520.926867,00:00.0,5899513.008,9357,191.839581,2172976.165,0
10/17/2020,2:00:00 AM,PM,11322.84,11338.76,11322,11332.77,371.224886,30:00.0,4206449.121,6402,178.878458,2026857.722,0
10/17/2020,2:30:00 AM,PM,11332.77,11365.32,11255,11356.74,1957.003214,00:00.0,22143924.97,23220,850.668402,9627786.752,0
10/17/2020,3:00:00 AM,PM,11356.74,11402.42,11333.14,11347.43,1697.328415,30:00.0,19300630.14,22427,954.536281,10857560.41,0
10/17/2020,3:30:00 AM,PM,11347.43,11350.5,11324.89,11337.54,489.467322,00:00.0,5551053.915,9426,216.781076,2458688.548,0
10/17/2020,4:00:00 AM,PM,11337.54,11343.76,11320.19,11332.66,462.327917,30:00.0,5238370.337,8595,202.654543,2296367.494,0
10/17/2020,4:30:00 AM,PM,11332.67,11332.74,11305,11327.11,647.060618,00:00.0,7324251.341,10043,246.662634,2792180.546,0
10/17/2020,5:00:00 AM,PM,11327.11,11333.47,11300,11325.71,459.482241,30:00.0,5202580.884,7552,176.208234,1995555.727,0
10/17/2020,5:30:00 AM,PM,11325.7,11346,11319.14,11341.5,326.328318,00:00.0,3697758.407,7087,166.125271,1882428.163,0
10/17/2020,6:00:00 AM,PM,11341.5,11346.03,11332,11340.3,344.517589,30:00.0,3906406.394,5787,177.451333,2012088.191,0
10/17/2020,6:30:00 AM,PM,11340.31,11347.61,11332.24,11346.87,249.743589,00:00.0,2832505.711,5010,97.801675,1109236.21,0
10/17/2020,7:00:00 AM,PM,11346.88,11360,11337.91,11360,414.985094,30:00.0,4708776.101,5906,185.340749,2103226.314,0
10/17/2020,7:30:00 AM,PM,11360,11360,11336.75,11342.21,311.530421,00:00.0,3534449.725,5572,112.852341,1280284.398,0
10/17/2020,8:00:00 AM,PM,11342.21,11345.48,11325,11325,313.210487,30:00.0,3551225.208,5177,111.812902,1267798.084,0
10/17/2020,8:30:00 AM,PM,11325,11363,11325,11348.97,480.854949,00:00.0,5455532.302,8507,250.887359,2846456.839,0
10/17/2020,9:00:00 AM,PM,11348.97,11364.98,11348.5,11355.1,305.612912,30:00.0,3470414.648,7501,167.472098,1901833.194,0
10/17/2020,9:30:00 AM,PM,11355.1,11355.87,11337.17,11341.8,259.381266,00:00.0,2943015.694,5682,88.290243,1001763.297,0
10/17/2020,10:00:00 AM,PM,11341.87,11352.87,11334.82,11338.6,252.478018,30:00.0,2864100.466,4816,88.573857,1004792.338,0
10/17/2020,10:30:00 AM,PM,11338.59,11351.87,11336.71,11343.5,178.514414,00:00.0,2025282.913,3632,72.227896,819371.0369,0
10/17/2020,11:00:00 AM,PM,11343.5,11360.04,11341.69,11349.28,327.213172,30:00.0,3714111.95,5480,166.842613,1893851.072,0
10/17/2020,11:30:00 AM,PM,11349.39,11373.18,11349.27,11360.2,410.245004,00:00.0,4660774.892,6133,214.597981,2438197.587,0
